stress_case,seed,method,solver_method,tower_count,stop_count,vehicle_count,uav_count,battery_capacity,reserve_ratio,quantile_z,wind_speed,temperature,objective_value,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,sortie_count,avg_towers_per_sortie,missed_value,solver_runtime,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates
sparse_high_wind,8,alns_fixed,alns_fixed,75,18,3,6,125.0,0.2,1.96,12.0,34.0,15980.789112519918,507.412769,427.089148,15853.404383,0.706667,0.706667,192.608817,0.333333,0.333333,75,1.0,2556.3669,0.170697,130.0,22.0,10.0,18.0
sparse_high_wind,9,alns_pinn_full,alns_full,75,18,3,6,125.0,0.2,1.96,12.0,34.0,19536.3616985581,609.58345,480.233219,16241.493564,0.546667,0.546667,161.384186,0.611111,0.388889,75,1.0,2842.8024,0.20262,110.0,13.0,30.0,13.0
sparse_high_wind,9,no_energy_repair,alns_full_no_energy_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,19536.3616985581,609.58345,480.233219,16241.493564,0.546667,0.546667,161.384186,0.611111,0.388889,75,1.0,2842.8024,0.174024,122.0,17.0,18.0,17.0
sparse_high_wind,9,no_sync_repair,alns_full_no_sync_repair,75,18,3,6,125.0,0.2,1.96,12.0,34.0,19536.3616985581,609.58345,480.233219,16241.493564,0.546667,0.546667,161.384186,0.611111,0.388889,75,1.0,2842.8024,0.170328,122.0,17.0,18.0,17.0
sparse_high_wind,9,no_uq,alns_full_no_uq,75,18,3,6,125.0,0.2,1.96,12.0,34.0,19458.86562995811,614.823739,543.19842,16217.907681,0.786667,0.786667,157.056689,0.555556,0.333333,75,1.0,2615.6797,0.192726,114.0,31.0,26.0,15.0
sparse_high_wind,9,no_risk_value,alns_full_no_risk_value,75,18,3,6,125.0,0.2,1.96,12.0,34.0,14507.968455558099,503.286628,385.705471,16241.493564,0.546667,0.546667,175.730197,0.333333,0.333333,75,1.0,2842.8024,0.194129,127.0,18.0,13.0,12.0
sparse_high_wind,9,alns_fixed,alns_fixed,75,18,3,6,125.0,0.2,1.96,12.0,34.0,14208.913548438102,491.458478,353.975873,16264.772846,0.786667,0.786667,172.083229,0.333333,0.333333,75,1.0,2615.6797,0.147692,126.0,17.0,14.0,16.0
tight_battery,0,alns_pinn_full,alns_full,75,24,3,6,108.0,0.22,1.96,9.5,32.0,17916.732974604707,552.079805,727.709182,10620.450163,0.466667,0.466667,141.315119,0.833333,0.611111,75,1.0,2748.4295,0.188799,112.0,15.0,28.0,12.0
tight_battery,0,no_energy_repair,alns_full_no_energy_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,17916.732974604707,552.079805,727.709182,10620.450163,0.466667,0.466667,141.315119,0.833333,0.611111,75,1.0,2748.4295,0.170476,124.0,19.0,16.0,15.0
tight_battery,0,no_sync_repair,alns_full_no_sync_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,17916.732974604707,552.079805,727.709182,10620.450163,0.466667,0.466667,141.315119,0.833333,0.611111,75,1.0,2748.4295,0.183566,126.0,18.0,14.0,18.0
