stress_case,seed,method,solver_method,tower_count,stop_count,vehicle_count,uav_count,battery_capacity,reserve_ratio,quantile_z,wind_speed,temperature,objective_value,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates
tight_battery,1,no_sync_repair,alns_full_no_sync_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,7015.5901157056,239.256125,898.699599,10250.103544,0.426667,0.426667,129771.69955,0.611111,2422.7936,0.119228,119.0,20.0,21.0,15.0
tight_battery,1,no_uq,rv_alns,75,24,3,6,108.0,0.22,1.96,9.5,32.0,8891.180391905602,249.491049,961.246445,10221.26201,0.76,0.76,148004.49152,0.833333,2170.6174,0.028976,0.0,0.0,0.0,0.0
tight_battery,1,no_risk_value,uq_alns,75,24,3,6,108.0,0.22,1.96,9.5,32.0,8913.2257137056,254.74187,903.812568,10250.103544,0.426667,0.426667,148694.217579,0.833333,2422.7936,0.031859,0.0,0.0,0.0,0.0
tight_battery,1,alns_fixed,alns_fixed,75,24,3,6,108.0,0.22,1.96,9.5,32.0,5737.8968823056,245.063177,730.932549,10225.826541,0.76,0.76,172559.848638,0.277778,2170.6174,0.1034,126.0,28.0,14.0,16.0
tight_battery,2,alns_pinn_full,alns_full,75,24,3,6,108.0,0.22,1.96,9.5,32.0,6740.7862404072,244.736493,873.043905,10036.020598,0.426667,0.426667,117689.566398,0.722222,2284.9221,0.141547,115.0,17.0,25.0,10.0
tight_battery,2,no_energy_repair,alns_full_no_energy_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,6740.7862404072,244.736493,873.043905,10036.020598,0.426667,0.426667,117689.566398,0.722222,2284.9221,0.156064,124.0,15.0,16.0,14.0
tight_battery,2,no_sync_repair,alns_full_no_sync_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,6740.7862404072,244.736493,873.043905,10036.020598,0.426667,0.426667,117689.566398,0.722222,2284.9221,0.138003,123.0,11.0,17.0,11.0
tight_battery,2,no_uq,rv_alns,75,24,3,6,108.0,0.22,1.96,9.5,32.0,8599.971544847198,220.17367,945.516412,10010.695299,0.72,0.72,127969.964255,0.888889,1998.7445,0.032854,0.0,0.0,0.0,0.0
tight_battery,2,no_risk_value,uq_alns,75,24,3,6,108.0,0.22,1.96,9.5,32.0,8642.6365664072,223.051955,822.759077,10036.020598,0.426667,0.426667,129923.699875,0.833333,2284.9221,0.030848,0.0,0.0,0.0,0.0
tight_battery,2,alns_fixed,alns_fixed,75,24,3,6,108.0,0.22,1.96,9.5,32.0,5631.397351527201,234.139938,889.680709,10017.731776,0.72,0.72,163969.330456,0.277778,2018.2694,0.104578,131.0,17.0,9.0,11.0
tight_battery,3,alns_pinn_full,alns_full,75,24,3,6,108.0,0.22,1.96,9.5,32.0,6572.463732811199,241.737203,824.712758,9957.150145,0.453333,0.453333,149118.468972,0.722222,2468.0595,0.140386,118.0,22.0,22.0,19.0
tight_battery,3,no_energy_repair,alns_full_no_energy_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,6572.463732811199,241.737203,824.712758,9957.150145,0.453333,0.453333,149118.468972,0.722222,2468.0595,0.13277,126.0,15.0,14.0,12.0
tight_battery,3,no_sync_repair,alns_full_no_sync_repair,75,24,3,6,108.0,0.22,1.96,9.5,32.0,6572.463732811199,241.737203,824.712758,9957.150145,0.453333,0.453333,149118.468972,0.722222,2468.0595,0.136643,124.0,23.0,16.0,11.0
tight_battery,3,no_uq,rv_alns,75,24,3,6,108.0,0.22,1.96,9.5,32.0,7957.872029731199,228.32361,869.349487,9933.622788,0.72,0.72,164211.643023,0.888889,2041.772,0.054828,0.0,0.0,0.0,0.0
tight_battery,3,no_risk_value,uq_alns,75,24,3,6,108.0,0.22,1.96,9.5,32.0,8050.549355811199,237.247424,980.796817,9957.150145,0.453333,0.453333,168117.516086,0.888889,2468.0595,0.039589,0.0,0.0,0.0,0.0
tight_battery,3,alns_fixed,alns_fixed,75,24,3,6,108.0,0.22,1.96,9.5,32.0,5601.6461112912,247.163663,754.837262,9938.200723,0.72,0.72,174189.290075,0.277778,2041.772,0.108072,130.0,7.0,10.0,7.0
tight_battery,4,alns_pinn_full,alns_full,75,24,3,6,108.0,0.22,1.96,9.5,32.0,8089.554637186399,246.611432,885.118337,10485.779159,0.453333,0.453333,174042.986951,0.666667,2829.0823,0.147809,111.0,16.0,29.0,13.0
