size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,scenario_id,milp_status,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
M,1,50,25,2,2,5,medium,alns_pinn_full,kmeans,3,M50_P25_seed5_medium_kmeans25,not_milp,1250,150,0.88,93,76.0,10.0,24.0,4.0,101.0,50.0,900.0,12.0,16.0,22.0,26.0,24.0,40.0,34.0,14.0,12.0,105.325294,561.253773,2196.675411,0.0,0.0,56193.094502,0.833333,0,0.049929,2285.4367892616,0.0,0.0
M,1,50,25,2,2,5,medium,alns_pinn_full,dbscan,3,M50_P25_seed5_medium_dbscan3,not_milp,150,76,0.493333,13,78.0,19.0,22.0,10.0,101.0,50.0,900.0,11.0,17.0,20.0,19.0,33.0,39.0,36.0,14.0,11.0,326.122431,314.600874,8912.498708,0.6,0.6,163617.0553,0.666667,2364.3773,0.011621,7334.107045181601,0.0,0.0
M,1,50,25,2,2,6,medium,alns_pinn_full,direct,3,M50_P25_seed6_medium,not_milp,1250,1250,0.0,1250,75.0,22.0,25.0,7.0,101.0,50.0,900.0,14.0,23.0,34.0,9.0,20.0,31.0,37.0,12.0,20.0,122.235989,635.524044,2771.944294,0.0,0.0,45168.708375,0.916667,0,0.050643,2816.36694104,0.0,0.0
M,1,50,25,2,2,6,medium,alns_pinn_full,kmeans,3,M50_P25_seed6_medium_kmeans25,not_milp,1250,150,0.88,91,76.0,14.0,24.0,5.0,101.0,50.0,900.0,18.0,20.0,18.0,21.0,23.0,40.0,34.0,13.0,13.0,112.962054,533.178548,2421.71746,0.0,0.0,40810.8698,0.833333,0,0.049736,2565.9198663199995,0.0,0.0
M,1,50,25,2,2,6,medium,alns_pinn_full,dbscan,3,M50_P25_seed6_medium_dbscan3,not_milp,150,72,0.52,11,75.0,13.0,25.0,9.0,101.0,50.0,900.0,16.0,19.0,27.0,16.0,22.0,39.0,33.0,13.0,15.0,340.233059,270.828249,9554.686139,0.66,0.66,118573.064896,0.583333,2368.1641,0.011886,7687.406775840001,0.0,0.0
M,1,50,25,2,2,7,medium,alns_pinn_full,direct,3,M50_P25_seed7_medium,not_milp,1250,1250,0.0,1250,72.0,9.0,28.0,5.0,101.0,50.0,900.0,27.0,16.0,18.0,16.0,23.0,39.0,31.0,14.0,16.0,112.108469,657.434323,2662.91259,0.0,0.0,70164.644915,1.0,0,0.04934,2574.369873133601,0.0,0.0
M,1,50,25,2,2,7,medium,alns_pinn_full,kmeans,3,M50_P25_seed7_medium_kmeans25,not_milp,1250,150,0.88,90,77.0,14.0,23.0,7.0,101.0,50.0,900.0,28.0,22.0,20.0,15.0,15.0,41.0,32.0,11.0,16.0,106.280599,651.257479,2264.168842,0.0,0.0,63663.032395,0.916667,0,0.050334,2284.8952947336006,0.0,0.0
M,1,50,25,2,2,7,medium,alns_pinn_full,dbscan,3,M50_P25_seed7_medium_dbscan3,not_milp,150,74,0.506667,12,76.0,16.0,24.0,13.0,101.0,50.0,900.0,25.0,18.0,21.0,16.0,20.0,43.0,31.0,12.0,14.0,324.463122,311.836026,9272.499325,0.62,0.62,196162.961546,0.833333,2694.8482,0.0109,7644.636986253601,0.0,0.0
M,1,50,25,2,2,8,medium,alns_pinn_full,direct,3,M50_P25_seed8_medium,not_milp,1250,1250,0.0,1250,82.0,19.0,18.0,3.0,101.0,50.0,900.0,18.0,22.0,19.0,21.0,20.0,42.0,34.0,11.0,13.0,117.215646,665.714574,2733.489859,0.0,0.0,52623.524346,0.833333,0,0.050535,2800.5429909255995,0.0,0.0
M,1,50,25,2,2,8,medium,alns_pinn_full,kmeans,3,M50_P25_seed8_medium_kmeans25,not_milp,1250,150,0.88,90,82.0,13.0,18.0,4.0,101.0,50.0,900.0,16.0,28.0,10.0,22.0,24.0,35.0,39.0,12.0,14.0,103.024648,652.055812,2262.887907,0.0,0.0,47759.40312,0.833333,0,0.050355,2446.1789250056,0.0,0.0
M,1,50,25,2,2,8,medium,alns_pinn_full,dbscan,3,M50_P25_seed8_medium_dbscan3,not_milp,150,70,0.533333,10,76.0,13.0,24.0,13.0,101.0,50.0,900.0,19.0,21.0,14.0,22.0,24.0,38.0,35.0,12.0,15.0,327.57448,243.658761,9410.012176,0.64,0.64,135160.405171,0.75,2404.9003,0.010874,7518.466445405598,0.0,0.0
M,1,50,25,2,2,9,medium,alns_pinn_full,direct,3,M50_P25_seed9_medium,not_milp,1250,1250,0.0,1250,73.0,12.0,27.0,4.0,101.0,50.0,900.0,24.0,12.0,24.0,15.0,25.0,38.0,32.0,10.0,20.0,111.809047,694.212883,2688.84879,0.0,0.0,63000.399125,0.916667,0,0.048765,2547.37958682,0.0,0.0
M,1,50,25,2,2,9,medium,alns_pinn_full,kmeans,3,M50_P25_seed9_medium_kmeans25,not_milp,1250,146,0.8832,89,82.0,26.0,18.0,7.0,101.0,50.0,900.0,17.0,22.0,29.0,14.0,18.0,33.0,40.0,11.0,16.0,106.349246,641.742673,2317.140933,0.0,0.0,55643.103258,0.916667,0,0.05001,2179.5294571000004,0.0,0.0
M,1,50,25,2,2,9,medium,alns_pinn_full,dbscan,3,M50_P25_seed9_medium_dbscan3,not_milp,150,72,0.52,11,79.0,18.0,21.0,5.0,101.0,50.0,900.0,25.0,16.0,21.0,14.0,24.0,39.0,37.0,9.0,15.0,327.633642,330.11035,9312.784438,0.66,0.66,169385.044793,0.833333,2702.9838,0.011305,7302.783725939998,0.0,0.0
M,2,75,35,3,3,0,medium,alns_pinn_full,direct,3,M75_P35_seed0_medium,not_milp,2625,2625,0.0,2625,81.0,32.0,19.0,6.0,101.0,75.0,1400.0,25.0,13.0,21.0,13.0,28.0,41.0,34.0,12.0,13.0,85.558744,1199.554573,4047.016329,0.013333,0.013333,40803.424056,0.944444,81.5885,0.102931,2670.7388272888,0.0,0.0
M,2,75,35,3,3,0,medium,alns_pinn_full,kmeans,3,M75_P35_seed0_medium_kmeans35,not_milp,2625,225,0.914286,155,77.0,23.0,23.0,3.0,101.0,75.0,1400.0,28.0,17.0,16.0,12.0,27.0,48.0,28.0,13.0,11.0,67.637569,1293.834889,3249.196185,0.0,0.0,34128.895146,0.944444,0,0.100248,2177.7123740888,0.0,0.0
