size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,scenario_id,milp_status,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
M,1,50,25,2,2,5,high,no_pinn,kmeans,3,M50_P25_seed5_high_kmeans25,not_milp,1250,150,0.88,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.813499,556.683586,2196.675411,0.0,0.0,74168.363392,0.416667,0,0.002326,1988.5713748616,0.0,0.0
M,1,50,25,2,2,5,high,no_adaptive,kmeans,3,M50_P25_seed5_high_kmeans25,not_milp,1250,150,0.88,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.348963,590.388913,2196.675411,0.0,0.0,56724.228982,0.666667,0,0.017197,2311.5232748615995,0.0,0.0
M,1,50,25,2,2,5,high,no_uq,kmeans,3,M50_P25_seed5_high_kmeans25,not_milp,1250,150,0.88,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.244533,534.76068,2196.675411,0.0,0.0,56710.329069,0.916667,0,0.014781,2325.8145288615997,0.0,0.0
M,1,50,25,2,2,5,high,no_risk_value,kmeans,3,M50_P25_seed5_high_kmeans25,not_milp,1250,150,0.88,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.318821,581.697046,2196.675411,0.0,0.0,56724.339105,0.666667,0,0.01372,2311.4446888616,0.0,0.0
M,1,50,25,2,2,5,high,no_clustering,direct,3,M50_P25_seed5_high,not_milp,1250,1250,0.0,1250,100.0,4.0,0.0,4.0,101.0,50.0,900.0,9.0,16.0,22.0,22.0,31.0,52.0,48.0,117.645616,619.086857,2488.034442,0.0,0.0,61699.421695,0.833333,0,0.031308,2548.1582387816,0.0,0.0
M,1,50,25,2,2,6,high,alns_pinn_full,kmeans,3,M50_P25_seed6_high_kmeans25,not_milp,1250,146,0.8832,70,100.0,8.0,0.0,8.0,101.0,50.0,900.0,20.0,15.0,25.0,23.0,17.0,54.0,46.0,110.788612,593.816778,2425.320977,0.0,0.0,41005.879131,0.833333,0,0.030694,2543.41941072,0.0,0.0
M,1,50,25,2,2,6,high,no_pinn,kmeans,3,M50_P25_seed6_high_kmeans25,not_milp,1250,146,0.8832,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.060447,591.457962,2425.235182,0.06,0.06,58898.472564,0.166667,0,0.002093,2239.41385316,0.0,0.0
M,1,50,25,2,2,6,high,no_adaptive,kmeans,3,M50_P25_seed6_high_kmeans25,not_milp,1250,146,0.8832,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.742468,577.264427,2421.71746,0.04,0.04,41355.767151,0.833333,0,0.012905,2606.84884316,0.0,0.0
M,1,50,25,2,2,6,high,no_uq,kmeans,3,M50_P25_seed6_high_kmeans25,not_milp,1250,146,0.8832,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.591742,631.097458,2421.71746,0.04,0.04,41222.129954,0.833333,0,0.012277,2618.0864221599995,0.0,0.0
M,1,50,25,2,2,6,high,no_risk_value,kmeans,3,M50_P25_seed6_high_kmeans25,not_milp,1250,146,0.8832,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.710451,666.845941,2425.320977,0.0,0.0,41547.804115,0.833333,0,0.013453,2628.1186657199996,0.0,0.0
M,1,50,25,2,2,6,high,no_clustering,direct,3,M50_P25_seed6_high,not_milp,1250,1250,0.0,1250,100.0,11.0,0.0,11.0,101.0,50.0,900.0,16.0,18.0,27.0,22.0,17.0,47.0,53.0,121.100221,606.626989,2773.776694,0.0,0.0,45149.447224,0.916667,0,0.028834,2842.00141288,0.0,0.0
M,1,50,25,2,2,7,high,alns_pinn_full,kmeans,3,M50_P25_seed7_high_kmeans25,not_milp,1250,150,0.88,76,100.0,8.0,0.0,8.0,101.0,50.0,900.0,26.0,14.0,19.0,23.0,18.0,57.0,43.0,105.807511,600.832074,2264.168842,0.0,0.0,63637.523554,0.916667,0,0.028138,2306.5486712136,0.0,0.0
M,1,50,25,2,2,7,high,no_pinn,kmeans,3,M50_P25_seed7_high_kmeans25,not_milp,1250,150,0.88,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.552527,571.007442,2264.168842,0.0,0.0,96808.466947,0.25,0,0.00176,2066.4330162136002,0.0,0.0
M,1,50,25,2,2,7,high,no_adaptive,kmeans,3,M50_P25_seed7_high_kmeans25,not_milp,1250,150,0.88,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.882539,694.718238,2264.168842,0.0,0.0,64644.146537,1.0,0,0.013248,2320.4480392136006,0.0,0.0
M,1,50,25,2,2,7,high,no_uq,kmeans,3,M50_P25_seed7_high_kmeans25,not_milp,1250,150,0.88,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.280536,685.419656,2264.168842,0.0,0.0,64106.49989,0.916667,0,0.012355,2321.3540582136006,0.0,0.0
