size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,sensitivity_factor,sensitivity_level,quantile_z,scenario_id,milp_status,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct,reserve_ratio,iteration_budget,uav_count_override
M,1,50,25,2,2,2,high,alns_pinn_full,kmeans,3,candidate_mode,kmeans,,M50_P25_seed2_high_kmeans25,not_milp,1250,146,0.8832,70,76.0,19.0,24.0,5.0,101.0,50.0,900.0,19.0,18.0,26.0,15.0,22.0,34.0,38.0,12.0,16.0,109.183729,642.560367,2362.103865,0.0,0.0,39139.690643,0.916667,0,0.065734,2346.8271987296,0.0,0.0,,,
M,1,50,25,2,2,2,high,alns_pinn_full,dbscan,3,candidate_mode,dbscan,,M50_P25_seed2_high_dbscan3,not_milp,150,70,0.533333,10,78.0,15.0,22.0,8.0,101.0,50.0,900.0,17.0,24.0,19.0,15.0,25.0,24.0,48.0,10.0,18.0,327.783302,339.908858,9407.40254,0.76,0.76,121953.335169,0.583333,2664.7551,0.015135,7766.672549569602,0.0,0.0,,,
M,1,50,25,2,2,3,high,alns_pinn_full,kmeans,3,quantile_z,1.28,1.28,M50_P25_seed3_high_kmeans25,not_milp,1250,150,0.88,97,80.0,25.0,20.0,1.0,101.0,50.0,900.0,18.0,15.0,22.0,31.0,14.0,31.0,45.0,11.0,13.0,102.693032,670.896075,2141.216734,0.0,0.0,53363.222078,0.916667,0,0.074811,2366.3188951879997,0.0,0.0,,,
M,1,50,25,2,2,3,high,alns_pinn_full,kmeans,3,quantile_z,1.645,1.645,M50_P25_seed3_high_kmeans25,not_milp,1250,150,0.88,94,80.0,25.0,20.0,1.0,101.0,50.0,900.0,18.0,15.0,22.0,31.0,14.0,30.0,46.0,11.0,13.0,102.693032,735.270145,2141.216734,0.0,0.0,53361.733709,0.916667,0,0.069477,2374.0304468680006,0.0,0.0,,,
M,1,50,25,2,2,3,high,alns_pinn_full,kmeans,3,quantile_z,1.96,1.96,M50_P25_seed3_high_kmeans25,not_milp,1250,150,0.88,88,80.0,25.0,20.0,1.0,101.0,50.0,900.0,18.0,15.0,22.0,31.0,14.0,30.0,46.0,11.0,13.0,101.129392,644.31259,2141.216734,0.0,0.0,53353.095636,0.916667,0,0.071746,2376.671000188,0.0,0.0,,,
M,1,50,25,2,2,3,high,alns_pinn_full,kmeans,3,reserve_ratio,0.08,,M50_P25_seed3_high_kmeans25,not_milp,1250,150,0.88,95,80.0,25.0,20.0,1.0,101.0,50.0,900.0,18.0,15.0,22.0,31.0,14.0,30.0,46.0,11.0,13.0,102.693032,735.270145,2141.216734,0.0,0.0,53361.733709,0.916667,0,0.073314,2374.0304468680006,0.0,0.0,0.08,,
M,1,50,25,2,2,3,high,alns_pinn_full,kmeans,3,reserve_ratio,0.12,,M50_P25_seed3_high_kmeans25,not_milp,1250,150,0.88,94,80.0,25.0,20.0,1.0,101.0,50.0,900.0,18.0,15.0,22.0,31.0,14.0,30.0,46.0,11.0,13.0,102.693032,735.270145,2141.216734,0.0,0.0,53361.733709,0.916667,0,0.068151,2374.0304468680006,0.0,0.0,0.12,,
M,1,50,25,2,2,3,high,alns_pinn_full,kmeans,3,reserve_ratio,0.2,,M50_P25_seed3_high_kmeans25,not_milp,1250,148,0.8816,81,78.0,20.0,22.0,4.0,101.0,50.0,900.0,22.0,16.0,17.0,25.0,20.0,34.0,40.0,14.0,12.0,103.0715,580.898194,2142.929575,0.0,0.0,53153.515277,0.916667,0,0.062321,2362.7861003880002,0.0,0.0,0.2,,
M,1,50,25,2,2,3,high,alns_pinn_full,kmeans,3,iteration_budget,50,,M50_P25_seed3_high_kmeans25,not_milp,1250,150,0.88,94,37.0,10.0,13.0,1.0,51.0,50.0,450.0,8.0,7.0,10.0,16.0,9.0,12.0,22.0,7.0,9.0,102.693032,735.270145,2141.216734,0.0,0.0,53361.733709,0.916667,0,0.067675,2374.0304468680006,0.0,0.0,,50,
M,1,50,25,2,2,3,high,alns_pinn_full,kmeans,3,iteration_budget,100,,M50_P25_seed3_high_kmeans25,not_milp,1250,150,0.88,94,80.0,25.0,20.0,1.0,101.0,50.0,900.0,18.0,15.0,22.0,31.0,14.0,30.0,46.0,11.0,13.0,102.693032,735.270145,2141.216734,0.0,0.0,53361.733709,0.916667,0,0.079094,2374.0304468680006,0.0,0.0,,100,
M,1,50,25,2,2,3,high,alns_pinn_full,kmeans,3,iteration_budget,160,,M50_P25_seed3_high_kmeans25,not_milp,1250,150,0.88,94,128.0,31.0,32.0,1.0,161.0,50.0,1440.0,34.0,23.0,33.0,47.0,23.0,54.0,69.0,21.0,16.0,102.693032,735.270145,2141.216734,0.0,0.0,53361.733709,0.916667,0,0.07631,2374.0304468680006,0.0,0.0,,160,
M,1,50,25,2,2,3,high,alns_pinn_full,kmeans,3,uav_count,2,,M50_P25_seed3_high_uav_count2_kmeans25,not_milp,1250,150,0.88,94,80.0,25.0,20.0,1.0,101.0,50.0,900.0,18.0,15.0,22.0,31.0,14.0,30.0,46.0,11.0,13.0,201.860215,591.997934,2141.216734,0.0,0.0,100371.420967,0.916667,0,0.06589,4878.588378868002,0.0,0.0,,,2
M,1,50,25,2,2,3,high,alns_pinn_full,kmeans,3,uav_count,4,,M50_P25_seed3_high_uav_count4_kmeans25,not_milp,1250,150,0.88,94,80.0,25.0,20.0,1.0,101.0,50.0,900.0,18.0,15.0,22.0,31.0,14.0,30.0,46.0,11.0,13.0,102.693032,735.270145,2141.216734,0.0,0.0,53361.733709,0.916667,0,0.063407,2374.0304468680006,0.0,0.0,,,4
